age,education,relationship,sex,race,income
55,Prof-school,Husband,Male,White,>50K
35,HS-grad,Not-in-family,Female,White,<=50K
37,Masters,Husband,Male,White,>50K
29,Bachelors,Not-in-family,Male,White,<=50K
21,HS-grad,Own-child,Female,White,<=50K
38,Bachelors,Husband,Male,White,>50K
37,Bachelors,Husband,Male,White,>50K
22,Some-college,Own-child,Male,White,<=50K
69,HS-grad,Husband,Male,White,<=50K
24,HS-grad,Husband,Male,White,<=50K
36,7th-8th,Own-child,Male,White,<=50K
63,HS-grad,Husband,Male,Black,<=50K
40,Assoc-acdm,Not-in-family,Male,White,>50K
47,Bachelors,Unmarried,Female,White,<=50K
36,Assoc-acdm,Husband,Male,White,>50K
44,Assoc-acdm,Husband,Male,White,>50K
23,HS-grad,Own-child,Male,White,<=50K
20,Some-college,Own-child,Female,White,<=50K
31,HS-grad,Husband,Male,White,>50K
30,HS-grad,Not-in-family,Male,White,<=50K
29,Some-college,Unmarried,Female,White,<=50K
42,HS-grad,Wife,Female,White,>50K
43,Assoc-voc,Own-child,Female,White,<=50K
35,Bachelors,Wife,Female,White,<=50K
50,HS-grad,Husband,Male,White,>50K
47,Masters,Husband,Male,White,>50K
18,HS-grad,Own-child,Male,White,<=50K
53,HS-grad,Husband,Male,Black,>50K
66,Some-college,Other-relative,Female,White,<=50K
21,Some-college,Own-child,Male,White,<=50K
43,Masters,Husband,Male,White,>50K
42,Bachelors,Husband,Male,White,>50K
31,Bachelors,Not-in-family,Male,White,>50K
43,Bachelors,Husband,Male,White,>50K
51,Bachelors,Wife,Female,White,>50K
76,7th-8th,Husband,Male,White,<=50K
59,Bachelors,Husband,Male,White,>50K
31,Bachelors,Wife,Female,White,>50K
67,HS-grad,Other-relative,Male,Black,<=50K
31,HS-grad,Not-in-family,Male,White,<=50K
44,11th,Husband,Male,Black,<=50K
34,Some-college,Not-in-family,Male,White,<=50K
55,HS-grad,Husband,Male,White,>50K
40,HS-grad,Husband,Male,White,<=50K
39,9th,Husband,Male,White,>50K
63,Bachelors,Husband,Male,White,>50K
41,Masters,Not-in-family,Male,White,<=50K
56,Prof-school,Husband,Male,White,>50K
29,HS-grad,Own-child,Male,Asian-Pac-Islander,<=50K
30,Bachelors,Wife,Female,White,<=50K
38,HS-grad,Own-child,Female,White,<=50K
47,Assoc-voc,Husband,Male,White,>50K
21,Some-college,Own-child,Male,White,<=50K
23,HS-grad,Own-child,Female,White,<=50K
46,Masters,Husband,Male,White,>50K
52,Bachelors,Husband,Male,White,>50K
24,Bachelors,Not-in-family,Female,White,<=50K
50,HS-grad,Husband,Male,White,>50K
32,5th-6th,Husband,Male,Amer-Indian-Eskimo,<=50K
40,Assoc-acdm,Husband,Male,White,>50K
35,Some-college,Not-in-family,Female,White,>50K
55,Some-college,Husband,Male,White,>50K
62,10th,Husband,Male,White,<=50K
36,Assoc-voc,Wife,Female,White,>50K
41,11th,Husband,Male,White,>50K
45,Some-college,Husband,Male,White,>50K
45,Some-college,Husband,Male,White,>50K
20,Some-college,Own-child,Female,White,<=50K
48,Some-college,Unmarried,Female,White,<=50K
35,Prof-school,Not-in-family,Male,Asian-Pac-Islander,>50K
20,HS-grad,Not-in-family,Male,White,<=50K
55,HS-grad,Husband,Male,White,>50K
33,HS-grad,Husband,Male,White,<=50K
45,Bachelors,Not-in-family,Male,White,>50K
18,Some-college,Own-child,Male,White,<=50K
66,HS-grad,Other-relative,Female,White,<=50K
36,Bachelors,Husband,Male,White,>50K
37,Some-college,Husband,Male,White,>50K
39,Bachelors,Husband,Male,White,>50K
28,Bachelors,Not-in-family,Male,White,<=50K
45,Bachelors,Husband,Male,White,>50K
34,Some-college,Wife,Female,White,<=50K
41,Masters,Husband,Male,White,>50K
44,HS-grad,Not-in-family,Female,White,<=50K
47,Some-college,Husband,Male,White,>50K
41,Bachelors,Husband,Male,White,>50K
35,11th,Husband,Male,White,<=50K
38,Bachelors,Husband,Male,White,>50K
60,10th,Not-in-family,Female,White,<=50K
51,HS-grad,Unmarried,Female,White,<=50K
46,Some-college,Husband,Male,White,>50K
41,Bachelors,Husband,Male,White,>50K
52,1st-4th,Husband,Male,White,>50K
34,Assoc-acdm,Husband,Male,White,<=50K
44,Assoc-voc,Unmarried,Female,White,<=50K
35,HS-grad,Husband,Male,White,<=50K
34,Some-college,Husband,Male,White,>50K
33,11th,Unmarried,Female,White,>50K
32,Some-college,Husband,Male,White,>50K
33,Assoc-acdm,Husband,Male,White,<=50K
29,Some-college,Husband,Male,White,<=50K
43,Assoc-voc,Husband,Male,White,>50K
34,Some-college,Not-in-family,Female,White,<=50K
44,Assoc-acdm,Not-in-family,Female,White,>50K
44,Assoc-voc,Husband,Male,White,>50K
31,Bachelors,Husband,Male,White,>50K
90,10th,Husband,Male,White,<=50K
44,Bachelors,Not-in-family,Male,White,<=50K
51,HS-grad,Husband,Male,White,>50K
37,Assoc-acdm,Husband,Male,White,>50K
55,HS-grad,Husband,Male,White,>50K
73,HS-grad,Other-relative,Female,White,<=50K
38,Bachelors,Husband,Male,White,>50K
47,Prof-school,Not-in-family,Male,White,>50K
27,Some-college,Own-child,Male,White,<=50K
31,Some-college,Husband,Male,Asian-Pac-Islander,<=50K
50,HS-grad,Husband,Male,White,>50K
53,HS-grad,Husband,Male,Black,<=50K
68,7th-8th,Husband,Male,White,<=50K
32,Bachelors,Husband,Male,White,>50K
33,HS-grad,Wife,Female,White,<=50K
36,HS-grad,Husband,Male,White,>50K
43,HS-grad,Husband,Male,White,>50K
50,HS-grad,Husband,Male,White,>50K
47,Bachelors,Husband,Male,Asian-Pac-Islander,<=50K
18,11th,Own-child,Female,White,<=50K
31,HS-grad,Not-in-family,Male,White,<=50K
30,Some-college,Not-in-family,Male,White,<=50K
29,HS-grad,Other-relative,Female,Black,<=50K
61,Bachelors,Husband,Male,White,>50K
36,Bachelors,Wife,Female,White,>50K
52,Bachelors,Husband,Male,White,>50K
43,Prof-school,Husband,Male,White,>50K
40,Masters,Wife,Female,White,>50K
21,Some-college,Own-child,Male,White,<=50K
43,Bachelors,Husband,Male,White,>50K
55,11th,Unmarried,Female,White,<=50K
60,Some-college,Husband,Male,White,<=50K
42,Some-college,Husband,Male,White,>50K
52,HS-grad,Not-in-family,Female,White,<=50K
46,HS-grad,Wife,Female,White,>50K
19,Some-college,Own-child,Female,White,<=50K
63,1st-4th,Unmarried,Female,White,<=50K
39,HS-grad,Husband,Male,Asian-Pac-Islander,<=50K
40,Bachelors,Not-in-family,Male,White,<=50K
41,Some-college,Unmarried,Female,Black,<=50K
41,HS-grad,Husband,Male,White,>50K
38,11th,Not-in-family,Female,White,<=50K
30,Bachelors,Husband,Male,White,<=50K
35,Some-college,Unmarried,Male,Asian-Pac-Islander,<=50K
31,Bachelors,Husband,Male,White,>50K
21,HS-grad,Own-child,Male,White,<=50K
19,HS-grad,Own-child,Male,White,<=50K
51,Bachelors,Husband,Male,White,>50K
51,1st-4th,Husband,Male,White,<=50K
44,Some-college,Unmarried,Female,White,<=50K
17,11th,Own-child,Male,White,<=50K
46,Masters,Not-in-family,Male,White,>50K
37,HS-grad,Husband,Male,Black,>50K
43,Some-college,Unmarried,Female,Black,<=50K
32,Bachelors,Husband,Male,White,>50K
33,Bachelors,Husband,Male,White,>50K
35,Bachelors,Husband,Male,Asian-Pac-Islander,>50K
44,Doctorate,Husband,Male,White,>50K
34,HS-grad,Husband,Male,White,>50K
63,HS-grad,Husband,Male,White,>50K
43,Bachelors,Husband,Male,White,<=50K
43,HS-grad,Not-in-family,Female,White,<=50K
19,Some-college,Own-child,Female,White,<=50K
47,Bachelors,Wife,Female,White,>50K
52,Assoc-voc,Husband,Male,White,>50K
43,HS-grad,Not-in-family,Male,White,<=50K
30,Assoc-acdm,Wife,Female,White,>50K
25,7th-8th,Other-relative,Male,White,<=50K
48,Masters,Husband,Male,White,>50K
40,Doctorate,Husband,Male,Asian-Pac-Islander,>50K
17,12th,Own-child,Male,White,<=50K
49,Masters,Husband,Male,White,>50K
27,Bachelors,Husband,Male,White,>50K
30,7th-8th,Not-in-family,Male,White,<=50K
56,Some-college,Husband,Male,Asian-Pac-Islander,<=50K
34,Bachelors,Not-in-family,Female,White,<=50K
61,Some-college,Husband,Male,White,>50K
50,HS-grad,Husband,Male,White,>50K
29,Bachelors,Husband,Male,White,>50K
49,HS-grad,Husband,Male,White,>50K
46,HS-grad,Husband,Male,Black,>50K
40,HS-grad,Husband,Male,White,<=50K
28,Some-college,Not-in-family,Female,Black,<=50K
21,Some-college,Own-child,Female,White,<=50K
28,Bachelors,Husband,Male,White,<=50K
58,Bachelors,Husband,Male,White,>50K
33,HS-grad,Wife,Female,Other,<=50K
44,Some-college,Own-child,Male,Black,<=50K
23,HS-grad,Own-child,Male,Asian-Pac-Islander,<=50K
27,Bachelors,Wife,Female,Black,>50K
59,Doctorate,Not-in-family,Male,White,<=50K
32,HS-grad,Husband,Male,White,<=50K
40,Some-college,Wife,Female,White,>50K
30,HS-grad,Husband,Male,White,<=50K
21,Some-college,Own-child,Female,Black,<=50K
58,Bachelors,Not-in-family,Male,White,>50K
32,HS-grad,Husband,Male,White,<=50K
23,HS-grad,Not-in-family,Male,Black,<=50K
48,HS-grad,Husband,Male,White,>50K
25,Bachelors,Own-child,Female,White,<=50K
59,HS-grad,Husband,Male,White,>50K
48,Some-college,Unmarried,Female,White,<=50K
31,Bachelors,Husband,Male,White,>50K
27,Some-college,Not-in-family,Male,White,<=50K
42,Prof-school,Husband,Male,White,>50K
58,Masters,Husband,Male,White,>50K
29,Bachelors,Not-in-family,Male,White,<=50K
48,Masters,Husband,Male,White,>50K
25,HS-grad,Husband,Male,White,<=50K
36,HS-grad,Husband,Male,White,>50K
19,Some-college,Not-in-family,Female,White,<=50K
38,Bachelors,Husband,Male,White,>50K
36,11th,Not-in-family,Male,Black,>50K
43,HS-grad,Husband,Male,White,>50K
47,Bachelors,Husband,Male,White,>50K
35,Prof-school,Husband,Male,White,>50K
40,HS-grad,Wife,Female,White,>50K
41,Bachelors,Wife,Female,White,>50K
34,HS-grad,Own-child,Male,White,<=50K
53,Prof-school,Husband,Male,White,>50K
43,HS-grad,Not-in-family,Male,White,<=50K
29,Bachelors,Husband,Male,White,>50K
36,Bachelors,Husband,Male,White,>50K
59,12th,Other-relative,Male,Black,<=50K
69,Masters,Husband,Male,White,>50K
39,HS-grad,Husband,Male,White,>50K
34,Assoc-acdm,Not-in-family,Female,White,<=50K
49,Some-college,Husband,Male,White,>50K
51,HS-grad,Husband,Male,White,>50K
38,Bachelors,Unmarried,Male,Asian-Pac-Islander,<=50K
41,Prof-school,Husband,Male,White,>50K
32,Assoc-acdm,Not-in-family,Female,Black,<=50K
50,Masters,Husband,Male,White,>50K
45,1st-4th,Husband,Male,White,<=50K
45,Bachelors,Husband,Male,Asian-Pac-Islander,>50K
50,Bachelors,Unmarried,Female,White,<=50K
19,HS-grad,Own-child,Male,White,<=50K
36,Assoc-acdm,Not-in-family,Male,White,<=50K
34,Masters,Husband,Male,White,>50K
31,HS-grad,Husband,Male,White,>50K
56,HS-grad,Husband,Male,White,>50K
31,Assoc-voc,Not-in-family,Female,Black,<=50K
19,11th,Not-in-family,Male,White,<=50K
51,Bachelors,Wife,Female,White,>50K
51,HS-grad,Not-in-family,Male,White,>50K
20,Some-college,Not-in-family,Female,White,<=50K
54,1st-4th,Husband,Male,White,<=50K
44,Some-college,Not-in-family,Male,White,<=50K
42,Bachelors,Husband,Male,White,>50K
18,11th,Other-relative,Male,White,<=50K
58,Masters,Husband,Male,White,>50K
38,Some-college,Husband,Male,White,>50K
20,Some-college,Own-child,Female,White,<=50K
36,Some-college,Husband,Male,White,>50K
48,Some-college,Husband,Male,White,<=50K
45,HS-grad,Wife,Female,White,<=50K
42,Doctorate,Husband,Male,White,>50K
45,Some-college,Wife,Female,White,>50K
19,Some-college,Own-child,Male,White,<=50K
52,HS-grad,Husband,Male,White,<=50K
22,Bachelors,Not-in-family,Male,White,<=50K
53,HS-grad,Husband,Male,White,>50K
26,Bachelors,Not-in-family,Male,White,<=50K
55,HS-grad,Not-in-family,Male,White,<=50K
59,Bachelors,Not-in-family,Male,White,<=50K
51,Assoc-voc,Husband,Male,White,>50K
44,Assoc-voc,Other-relative,Male,White,>50K
37,HS-grad,Unmarried,Female,White,<=50K
36,Assoc-voc,Husband,Male,White,>50K
50,Some-college,Husband,Male,White,>50K
41,Assoc-voc,Husband,Male,White,>50K
17,11th,Own-child,Male,Black,<=50K
82,10th,Not-in-family,Male,White,<=50K
58,Bachelors,Not-in-family,Female,White,<=50K
43,Some-college,Husband,Male,White,>50K
57,Doctorate,Husband,Male,White,>50K
25,Bachelors,Own-child,Female,White,<=50K
36,Masters,Wife,Female,White,>50K
24,Bachelors,Own-child,Female,White,<=50K
33,HS-grad,Wife,Female,White,>50K
28,11th,Unmarried,Female,White,<=50K
61,11th,Not-in-family,Female,White,<=50K
25,HS-grad,Own-child,Male,White,<=50K
71,HS-grad,Not-in-family,Male,White,<=50K
33,HS-grad,Husband,Male,White,>50K
36,Some-college,Husband,Male,White,<=50K
70,Some-college,Not-in-family,Female,White,<=50K
51,HS-grad,Husband,Male,White,>50K
29,HS-grad,Husband,Male,White,<=50K
56,Bachelors,Not-in-family,Male,White,>50K
25,Bachelors,Not-in-family,Female,White,<=50K
34,Bachelors,Husband,Male,Black,>50K
29,Bachelors,Husband,Male,White,<=50K
36,Bachelors,Husband,Male,White,>50K
57,HS-grad,Husband,Male,White,<=50K
40,Some-college,Unmarried,Female,Amer-Indian-Eskimo,<=50K
48,Bachelors,Husband,Male,White,>50K
40,Masters,Not-in-family,Male,White,<=50K
39,HS-grad,Husband,Male,White,>50K
40,Bachelors,Not-in-family,Female,Other,>50K
53,Some-college,Husband,Male,White,>50K
20,HS-grad,Not-in-family,Male,White,<=50K
42,HS-grad,Husband,Male,White,<=50K
50,Bachelors,Husband,Male,White,>50K
21,HS-grad,Husband,Male,White,<=50K
25,Some-college,Own-child,Female,White,<=50K
36,Some-college,Husband,Male,Asian-Pac-Islander,>50K
24,Assoc-acdm,Wife,Female,White,<=50K
37,Masters,Husband,Male,White,>50K
44,11th,Wife,Female,White,>50K
43,Some-college,Other-relative,Male,White,<=50K
58,Bachelors,Husband,Male,Black,>50K
40,Some-college,Wife,Female,White,<=50K
23,HS-grad,Own-child,Male,White,<=50K
38,HS-grad,Husband,Male,White,<=50K
43,Bachelors,Husband,Male,White,>50K
20,HS-grad,Not-in-family,Male,White,<=50K
64,HS-grad,Husband,Male,White,>50K
25,HS-grad,Not-in-family,Male,White,<=50K
67,HS-grad,Husband,Male,White,<=50K
37,Prof-school,Husband,Male,White,>50K
20,HS-grad,Not-in-family,Female,White,<=50K
37,HS-grad,Husband,Male,White,>50K
39,HS-grad,Husband,Male,White,<=50K
40,Bachelors,Husband,Male,White,>50K
39,HS-grad,Husband,Male,White,>50K
29,HS-grad,Not-in-family,Female,Black,<=50K
43,HS-grad,Husband,Male,Black,>50K
60,HS-grad,Not-in-family,Female,White,<=50K
76,5th-6th,Unmarried,Female,White,<=50K
44,HS-grad,Husband,Male,White,<=50K
51,Assoc-voc,Husband,Male,White,>50K
58,Some-college,Husband,Male,White,>50K
54,Prof-school,Husband,Male,White,>50K
45,Bachelors,Not-in-family,Male,White,>50K
50,HS-grad,Husband,Male,White,>50K
40,Bachelors,Husband,Male,White,>50K
27,Some-college,Not-in-family,Male,White,<=50K
30,Some-college,Husband,Male,White,<=50K
41,Bachelors,Husband,Male,White,>50K
43,HS-grad,Husband,Male,Black,<=50K
51,Some-college,Wife,Female,White,>50K
61,Some-college,Husband,Male,White,<=50K
47,Some-college,Unmarried,Female,White,<=50K
46,Some-college,Husband,Male,White,<=50K
19,Some-college,Own-child,Female,White,<=50K
58,Assoc-voc,Husband,Male,White,>50K
27,Some-college,Wife,Female,Black,<=50K
57,Masters,Husband,Male,White,>50K
36,HS-grad,Unmarried,Female,Black,<=50K
32,Masters,Wife,Female,White,>50K
54,Assoc-voc,Husband,Male,Black,>50K
29,HS-grad,Husband,Male,White,<=50K
62,Bachelors,Husband,Male,White,>50K
42,Assoc-acdm,Husband,Male,White,>50K
37,HS-grad,Not-in-family,Female,White,<=50K
41,Masters,Husband,Male,Asian-Pac-Islander,>50K
63,HS-grad,Husband,Male,White,>50K
21,11th,Husband,Male,White,<=50K
43,Some-college,Husband,Male,White,>50K
50,HS-grad,Wife,Female,White,>50K
37,Bachelors,Husband,Male,White,>50K
46,Some-college,Husband,Male,White,>50K
51,HS-grad,Wife,Female,White,<=50K
34,HS-grad,Husband,Male,White,>50K
51,HS-grad,Not-in-family,Female,White,<=50K
35,Assoc-acdm,Husband,Male,White,<=50K
32,HS-grad,Husband,Male,White,>50K
40,Bachelors,Husband,Male,White,>50K
51,Doctorate,Husband,Male,White,>50K
34,Masters,Own-child,Female,White,>50K
33,HS-grad,Not-in-family,Male,White,<=50K
23,HS-grad,Own-child,Female,White,<=50K
35,Bachelors,Husband,Male,White,>50K
59,11th,Husband,Male,White,<=50K
38,Bachelors,Husband,Male,White,>50K
35,HS-grad,Not-in-family,Male,Black,<=50K
33,HS-grad,Husband,Male,White,<=50K
31,Bachelors,Husband,Male,Black,>50K
35,10th,Husband,Male,White,<=50K
52,HS-grad,Husband,Male,Black,>50K
30,Assoc-voc,Not-in-family,Male,Black,<=50K
39,HS-grad,Not-in-family,Male,White,>50K
38,HS-grad,Husband,Male,White,>50K
50,HS-grad,Husband,Male,White,>50K
63,Some-college,Not-in-family,Female,White,<=50K
44,Assoc-acdm,Husband,Male,White,>50K
17,10th,Own-child,Male,White,<=50K
30,HS-grad,Own-child,Female,White,<=50K
47,Some-college,Unmarried,Female,White,<=50K
60,Masters,Husband,Male,White,>50K
17,10th,Other-relative,Female,White,<=50K
20,HS-grad,Not-in-family,Male,Black,<=50K
50,Some-college,Husband,Male,White,>50K
34,Assoc-voc,Husband,Male,White,>50K
37,Assoc-voc,Wife,Female,White,>50K
28,Some-college,Wife,Female,White,>50K
39,Bachelors,Husband,Male,White,<=50K
49,Masters,Husband,Male,White,>50K
43,HS-grad,Unmarried,Male,White,<=50K
52,Bachelors,Husband,Male,White,>50K
22,Some-college,Own-child,Male,White,<=50K
35,HS-grad,Husband,Male,Black,<=50K
29,12th,Husband,Male,White,<=50K
57,Some-college,Husband,Male,White,>50K
41,HS-grad,Husband,Male,White,>50K
20,Some-college,Own-child,Female,White,<=50K
33,HS-grad,Husband,Male,White,<=50K
36,HS-grad,Wife,Female,White,>50K
49,Assoc-acdm,Husband,Male,White,<=50K
23,10th,Not-in-family,Male,White,<=50K
43,Masters,Husband,Male,White,>50K
55,Assoc-acdm,Husband,Male,Black,>50K
36,HS-grad,Husband,Male,White,<=50K
28,Bachelors,Husband,Male,White,>50K
39,Bachelors,Wife,Female,White,>50K
33,7th-8th,Not-in-family,Male,White,<=50K
46,9th,Husband,Male,White,<=50K
64,Some-college,Not-in-family,Female,White,<=50K
40,HS-grad,Wife,Female,White,>50K
34,Bachelors,Husband,Male,White,>50K
26,Bachelors,Not-in-family,Male,White,>50K
36,HS-grad,Not-in-family,Female,White,<=50K
37,Bachelors,Husband,Male,White,>50K
56,Bachelors,Not-in-family,Female,White,<=50K
45,Doctorate,Not-in-family,Male,White,>50K
43,HS-grad,Wife,Female,White,>50K
40,Some-college,Own-child,Female,White,>50K
37,9th,Unmarried,Female,White,<=50K
25,Bachelors,Not-in-family,Female,White,<=50K
46,Some-college,Wife,Female,White,>50K
38,Bachelors,Wife,Female,White,<=50K
41,Some-college,Not-in-family,Male,White,<=50K
40,HS-grad,Not-in-family,Male,Black,<=50K
39,Bachelors,Not-in-family,Female,White,>50K
41,Bachelors,Husband,Male,Asian-Pac-Islander,>50K
31,HS-grad,Not-in-family,Female,Black,<=50K
43,Bachelors,Husband,Male,White,>50K
40,Bachelors,Husband,Male,White,>50K
44,Bachelors,Husband,Male,Amer-Indian-Eskimo,>50K
33,7th-8th,Not-in-family,Male,Black,<=50K
40,HS-grad,Wife,Female,White,>50K
45,Assoc-voc,Husband,Male,White,<=50K
20,Some-college,Not-in-family,Female,Black,<=50K
62,Bachelors,Husband,Male,White,>50K
61,9th,Not-in-family,Male,Black,<=50K
31,HS-grad,Husband,Male,White,<=50K
42,HS-grad,Unmarried,Female,Black,<=50K
28,Bachelors,Unmarried,Male,White,<=50K
30,Bachelors,Not-in-family,Male,White,>50K
28,Bachelors,Husband,Male,White,>50K
38,11th,Wife,Female,White,<=50K
22,Some-college,Own-child,Female,White,<=50K
32,Assoc-voc,Wife,Female,White,>50K
47,Bachelors,Husband,Male,White,>50K
53,Bachelors,Husband,Male,White,>50K
31,HS-grad,Wife,Female,White,<=50K
59,Some-college,Husband,Male,White,>50K
46,HS-grad,Husband,Male,White,>50K
46,HS-grad,Husband,Male,White,>50K
31,Assoc-acdm,Own-child,Female,Amer-Indian-Eskimo,<=50K
24,HS-grad,Wife,Female,White,<=50K
58,HS-grad,Unmarried,Female,White,<=50K
31,Bachelors,Own-child,Female,White,<=50K
28,HS-grad,Husband,Male,White,<=50K
32,Assoc-acdm,Unmarried,Female,Black,<=50K
39,HS-grad,Husband,Male,White,<=50K
47,HS-grad,Husband,Male,White,>50K
55,HS-grad,Not-in-family,Male,White,<=50K
34,Some-college,Husband,Male,White,<=50K
33,Some-college,Husband,Male,White,>50K
26,HS-grad,Own-child,Male,White,<=50K
45,Masters,Husband,Male,White,>50K
55,Masters,Wife,Female,White,>50K
29,HS-grad,Not-in-family,Male,White,>50K
41,5th-6th,Unmarried,Female,White,<=50K
39,Some-college,Not-in-family,Female,White,<=50K
46,Assoc-acdm,Unmarried,Male,White,>50K
59,7th-8th,Husband,Male,White,<=50K
29,Some-college,Not-in-family,Female,White,<=50K
68,9th,Husband,Male,Black,<=50K
54,10th,Not-in-family,Female,Black,<=50K
49,Some-college,Wife,Female,White,>50K
39,Bachelors,Husband,Male,White,>50K
19,Some-college,Own-child,Female,White,<=50K
35,HS-grad,Husband,Male,White,<=50K
57,Bachelors,Husband,Male,Asian-Pac-Islander,<=50K
20,HS-grad,Own-child,Male,Black,<=50K
62,HS-grad,Other-relative,Female,Black,<=50K
36,Prof-school,Unmarried,Male,White,>50K
52,1st-4th,Husband,Male,White,<=50K
38,HS-grad,Husband,Male,White,>50K
57,Bachelors,Husband,Male,White,>50K
41,Bachelors,Wife,Female,Asian-Pac-Islander,>50K
19,Some-college,Own-child,Female,White,<=50K
28,HS-grad,Other-relative,Female,White,<=50K
41,HS-grad,Own-child,Male,White,<=50K
49,Masters,Husband,Male,White,>50K
44,Bachelors,Husband,Male,White,>50K
21,Some-college,Own-child,Male,White,<=50K
35,Masters,Not-in-family,Male,White,>50K
57,Some-college,Husband,Male,White,<=50K
40,9th,Husband,Male,White,<=50K
47,HS-grad,Husband,Male,White,>50K
28,Masters,Not-in-family,Female,White,>50K
46,Some-college,Husband,Male,White,>50K
23,Assoc-acdm,Own-child,Male,White,<=50K
58,Some-college,Husband,Male,White,>50K
43,Bachelors,Husband,Male,White,>50K
36,HS-grad,Husband,Male,White,>50K
26,Some-college,Not-in-family,Female,Black,<=50K
19,Some-college,Own-child,Female,White,<=50K
44,7th-8th,Wife,Female,White,<=50K
19,HS-grad,Other-relative,Male,White,<=50K
52,Some-college,Husband,Male,White,>50K
53,Prof-school,Not-in-family,Male,Asian-Pac-Islander,>50K
19,HS-grad,Not-in-family,Female,White,<=50K
21,Some-college,Own-child,Male,White,<=50K
52,HS-grad,Own-child,Female,White,<=50K
17,10th,Own-child,Male,White,<=50K
34,Bachelors,Unmarried,Female,White,<=50K
74,5th-6th,Husband,Male,White,<=50K
50,Prof-school,Husband,Male,White,>50K
40,Some-college,Not-in-family,Male,White,<=50K
20,HS-grad,Other-relative,Male,Other,<=50K
29,Masters,Husband,Male,White,>50K
34,HS-grad,Husband,Male,White,>50K
48,Bachelors,Husband,Male,White,<=50K
38,Bachelors,Own-child,Male,White,<=50K
30,Bachelors,Unmarried,Female,White,>50K
26,HS-grad,Not-in-family,Male,White,<=50K
31,Bachelors,Husband,Male,White,>50K
23,5th-6th,Other-relative,Male,White,<=50K
22,Some-college,Own-child,Female,White,<=50K
39,HS-grad,Husband,Male,Black,>50K
25,Bachelors,Husband,Male,White,>50K
17,11th,Own-child,Male,White,<=50K
41,Doctorate,Husband,Male,White,>50K
45,Some-college,Husband,Male,Black,>50K
32,Some-college,Wife,Female,White,<=50K
55,Bachelors,Husband,Male,White,>50K
30,Masters,Husband,Male,White,<=50K
31,HS-grad,Husband,Male,White,<=50K
22,Assoc-acdm,Not-in-family,Female,Black,<=50K
44,11th,Husband,Male,White,>50K
90,HS-grad,Husband,Male,White,>50K
46,Bachelors,Husband,Male,White,>50K
24,Some-college,Own-child,Female,White,<=50K
31,11th,Husband,Male,White,<=50K
45,Assoc-voc,Husband,Male,White,>50K
54,Some-college,Husband,Male,White,>50K
57,11th,Husband,Male,White,<=50K
44,HS-grad,Husband,Male,White,<=50K
28,Bachelors,Husband,Male,White,>50K
31,Some-college,Husband,Male,White,<=50K
71,Some-college,Husband,Male,White,>50K
49,Bachelors,Unmarried,Female,White,<=50K
49,Some-college,Husband,Male,White,>50K
26,11th,Husband,Male,White,<=50K
57,Prof-school,Wife,Female,White,>50K
21,Some-college,Own-child,Male,White,<=50K
57,HS-grad,Husband,Male,White,<=50K
68,HS-grad,Not-in-family,Female,White,<=50K
36,10th,Not-in-family,Female,Black,<=50K
53,5th-6th,Wife,Female,Black,<=50K
47,Some-college,Husband,Male,White,>50K
39,Some-college,Not-in-family,Male,White,>50K
68,HS-grad,Husband,Male,White,>50K
54,Masters,Not-in-family,Female,White,>50K
43,Masters,Husband,Male,White,>50K
59,Bachelors,Husband,Male,White,>50K
37,Bachelors,Husband,Male,White,>50K
40,Some-college,Husband,Male,White,<=50K
47,Masters,Husband,Male,White,>50K
29,9th,Unmarried,Female,Black,<=50K
43,Masters,Husband,Male,White,>50K
62,HS-grad,Not-in-family,Male,White,<=50K
39,Some-college,Husband,Male,White,>50K
25,HS-grad,Other-relative,Male,White,<=50K
48,Assoc-voc,Husband,Male,White,>50K
35,HS-grad,Wife,Female,White,>50K
45,Assoc-voc,Husband,Male,White,>50K
32,Prof-school,Husband,Male,White,>50K
50,Assoc-voc,Husband,Male,White,>50K
24,Bachelors,Not-in-family,Male,Asian-Pac-Islander,<=50K
23,7th-8th,Own-child,Female,Black,<=50K
51,Masters,Husband,Male,White,>50K
47,Assoc-voc,Wife,Female,White,<=50K
23,11th,Unmarried,Male,Black,<=50K
43,Some-college,Husband,Male,White,<=50K
25,HS-grad,Not-in-family,Male,White,<=50K
41,Bachelors,Husband,Male,White,>50K
51,Masters,Husband,Male,White,>50K
47,Assoc-acdm,Husband,Male,White,>50K
42,Some-college,Husband,Male,White,<=50K
47,HS-grad,Husband,Male,White,>50K
20,Some-college,Own-child,Male,White,<=50K
48,Some-college,Husband,Male,White,>50K
35,Bachelors,Not-in-family,Male,White,<=50K
26,HS-grad,Husband,Male,White,<=50K
36,Bachelors,Husband,Male,White,>50K
35,HS-grad,Husband,Male,White,>50K
49,Some-college,Unmarried,Male,White,>50K
49,Masters,Husband,Male,White,>50K
41,Bachelors,Wife,Female,White,>50K
28,Assoc-acdm,Not-in-family,Female,White,<=50K
44,Doctorate,Husband,Male,White,>50K
32,Bachelors,Not-in-family,Male,White,>50K
40,Assoc-acdm,Not-in-family,Male,White,>50K
62,Assoc-acdm,Not-in-family,Female,White,<=50K
47,Some-college,Husband,Male,White,>50K
38,Bachelors,Not-in-family,Female,White,<=50K
44,Bachelors,Husband,Male,White,>50K
22,HS-grad,Own-child,Female,White,<=50K
57,HS-grad,Husband,Male,White,<=50K
